row,col,x0,y0,x1,y1,mae,rmse,ssim,foreground_iou,edge_iou
5,5,694,749,832,899,1.895362377166748,9.579692071413646,0.9400829412873644,0.0,0.0
4,3,416,599,555,749,1.7471462488174438,8.181451558077452,0.935177565939932,0.0,0.0
5,3,416,749,555,899,0.9881055355072021,2.6853542189418818,0.9914457684671841,0.0,0.0
4,0,0,599,139,749,0.9530135989189148,1.1101234490248777,0.9951950334846575,1.0,1.0
4,10,1388,599,1526,749,0.9293719530105591,1.0879666697361583,0.9953425909809592,1.0,1.0
5,0,0,749,139,899,0.9283453226089478,1.0864914503502847,0.9952954711577697,1.0,1.0
4,1,139,599,278,749,0.9226059317588806,1.0812773574278796,0.9952471288934088,1.0,1.0
3,1,139,450,278,599,0.9165982604026794,1.0984924498009043,0.9945154171729854,1.0,1.0
5,11,1526,749,1665,899,0.9165148138999939,1.0769438977377195,0.9953321909085352,1.0,1.0
5,2,278,749,416,899,0.9161513447761536,1.077892333646812,0.9953077667508814,1.0,1.0
4,11,1526,599,1665,749,0.9152358174324036,1.0753542915078753,0.9953053802307835,1.0,1.0
5,10,1388,749,1526,899,0.910821259021759,1.0676173225629695,0.9953750504356392,1.0,1.0
3,0,0,450,139,599,0.906893253326416,1.0881511164055775,0.9946533333986325,1.0,1.0
4,2,278,599,416,749,0.8867632746696472,1.0452407492972104,0.9954421627915367,1.0,1.0
5,1,139,749,278,899,0.8831015229225159,1.0427473883439518,0.9954063765013725,1.0,1.0
